unit,delta_top_mm,V_kN
"# Bimschas (2010) ETH diss. 18849, DOI 10.3929/ethz-a-006050338"
"# measured backbone, south excursion of the 1st cycles"
"# VK1,VK3 from Fig. 5.20 (PDF p.350); VK2 from Fig. 5.22 (PDF p.352)"
"# extracted from the PDF vector paths, not pixel-digitised"
VK1,-0.032,0.9
VK1,0.692,154.7
VK1,1.784,308.9
VK1,4.614,457.4
VK1,10.378,615.0
VK1,15.732,671.4
VK1,20.779,708.4
VK1,31.25,737.2
VK1,41.754,730.5
VK1,52.053,698.4
VK1,62.557,649.6
VK2,-0.007,13.8
VK2,0.692,154.1
VK2,1.561,308.3
VK2,2.465,406.5
VK2,6.234,543.1
VK2,10.378,635.9
VK2,15.528,706.8
VK2,20.66,737.7
VK2,31.233,753.8
VK2,42.13,619.5
VK2,52.6,527.7
VK2,63.207,459.2
VK2,72.944,326.5
VK2,83.5,262.2
VK2,92.913,194.1
VK3,0.01,0.2
VK3,0.829,159.9
VK3,1.818,319.6
VK3,4.581,480.8
VK3,10.327,641.1
VK3,15.784,754.4
VK3,21.036,845.9
VK3,30.552,881.7
VK3,41.295,855.3
VK3,52.772,415.9
