set,specimen,N_yield_kN,weighed_mass_loss_pct,recovered_theta_pct,error_pp,apparent_fy_on_net_section_MPa
rc,C1-C,85.1,0.0,4.97,+4.97,425.5
rc,C2-C,95.4,0.0,-6.53,-6.53,477.0
rc,C3-C,89.5,0.0,0.06,+0.06,447.5
rc,C4-C,88.2,0.0,1.51,+1.51,441.0
rc,C1-CR,92.0,0.9,-2.74,-3.64,464.2
rc,C2-CR,86.5,0.6,3.41,+2.81,435.1
rc,C3-CR,89.0,0.5,0.61,+0.11,447.2
rc,C1-05,79.0,6.1,11.78,+5.68,420.7
rc,C2-05,72.0,7.1,19.60,+12.50,387.5
rc,C3-05,76.5,3.4,14.57,+11.17,396.0
rc,C1-10,68.8,12.3,23.17,+10.87,392.2
rc,C2-10,59.5,13.0,33.56,+20.56,342.0
bare,R1-C,86.0,0.0,1.99,+1.99,430.0
bare,R2-C,89.5,0.0,-1.99,-1.99,447.5
bare,R-01,97.8,0.9,-11.45,-12.35,493.4
bare,R-05,87.3,5.1,0.51,-4.59,460.0
bare,R-10,76.0,10.1,13.39,+3.29,422.7
bare,R-15,66.0,15.4,24.79,+9.39,390.1
